Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Runtime (s),Train Size,Features,is_best
2026-03-22 01:07:37,plant,100,20,gini,0.8231669747381393,0.8143044994958644,1.901409,3785,1890,False
2026-03-22 01:07:39,plant,100,30,gini,0.8243992606284658,0.8158351931442993,1.857572,3785,1890,False
2026-03-22 01:07:41,plant,100,40,gini,0.8243992606284658,0.8158351931442993,1.858171,3785,1890,False
2026-03-22 01:07:45,plant,200,20,gini,0.8342575477510783,0.8251289587793269,3.380017,3785,1890,False
2026-03-22 01:07:48,plant,200,30,gini,0.833641404805915,0.8245374068727762,3.277169,3785,1890,False
2026-03-22 01:07:52,plant,200,40,gini,0.833641404805915,0.8245374068727762,3.30812,3785,1890,False
2026-03-22 01:07:57,plant,300,20,gini,0.8354898336414048,0.8261710319858588,4.924991,3785,1890,False
2026-03-22 01:08:02,plant,300,30,gini,0.8354898336414048,0.8262952511215136,4.9361,3785,1890,False
2026-03-22 01:08:07,plant,300,40,gini,0.8354898336414048,0.8262952511215136,4.898406,3785,1890,False
2026-03-22 01:08:14,plant,400,20,gini,0.836105976586568,0.8276024374865739,6.560356,3785,1890,True
2026-03-22 01:08:21,plant,400,30,gini,0.8330252618607517,0.8242148758685314,6.669572,3785,1890,False
2026-03-22 01:08:28,plant,400,40,gini,0.8330252618607517,0.8242148758685314,6.956094,3785,1890,False
